,Unnamed: 0,Date,Title,Summary,Url,Label
16,16,2019-01-02 11:27,제약바이오 불확실성 털어내고 반등 기지개,이 자리에서 삼성바이오로직스는 공장 가동 및 해외 수주 현황과 위탁개발생산 경쟁력 등을 발표할 예정이다한미약품은 올해 신약 모멘텀이 가장 강력한 회사 중 하나로 꼽힌다,https://finance.naver.com/news/news_read.nhn?article_id=0001482589&office_id=016&mode=mainnews&type=&date=2019-01-02&page=1,1.0
17,17,2019-01-02 11:58,줄지않은 연말 대차잔고증시 예고된 연초 약세장,주주명부 확정을 앞둔 연말이면 주식을 빌려줬던 대주의 상환요구가 많아지고 역의 수익률을 확정짓고자 하는 공매도 투자자들의 수요까지 몰리면서 대차잔고가 급감하는 모습이 나타난다 지난해 말의 경우 시가총액 대비 대차잔고 비중이 연중 고점과 비교해 포인트가량밖에 줄어들지 않았는데 이 때문에 시장에서는 주식 상환을 위한 공매도투자자들의 숏커버링이 연말 강세장으로 이어질 것이라는 기대감이 나왔다,https://finance.naver.com/news/news_read.nhn?article_id=0001482677&office_id=016&mode=mainnews&type=&date=2019-01-02&page=1,0.0
18,18,2019-01-02 11:15,증시 월 효과 없다변수는 정부 정책,모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004071605&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
19,19,2019-01-02 11:11,코스닥 월 효과 올해도 이어질까반도체바이오엔터주 추천,다만 아직까지 저점이 확인되지 않은 만큼 투자에는 신중해야 한다는 조언이다월 효과란 새해에 주가가 상승할 것이란 기대감에 투자자들이 주식에 돈을 넣고 이로 인해 지수가 올라가면서 다른 달에 비해 월 주가 상승률이 상대적으로 높은 현상을 말한다일 오전 시분 현재 코스피 지수는 전 거래일 대비 포인트 오른 에 거래되고 있다,https://finance.naver.com/news/news_read.nhn?article_id=0004154535&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1,1.0
20,20,2019-01-02 11:07,새해 첫 코스피 기관 팔자에 선 초반까지 털썩,코스닥 지수는 선을 사수 중이다일 오전 시분 현재 코스피는 포인트 내린 을 기록하고 있다이날 코스피는 전 거래일보다 포인트 오른 에 개장했다투자 주체별로 살펴보면 개인과 외국인 억원 억원 순매수 중이다 현대차  등은 내림세다같은 시각 코스닥 지수는 포인트 오른 을 기록하고 있다이날 코스닥은 전 거래일보다 포인트 오른 에 개장했다투자 주체별로 살펴보면 개인과 기관은 억원 억원 순매수 중이다 외국인은 억원 순매도 중이다대부분의 업종이 상승세를 보이고 있다,https://finance.naver.com/news/news_read.nhn?article_id=0001482553&office_id=016&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
21,21,2019-01-02 8:38,올해는 펀더멘털 둔화 시기 조정 역이용에 나서야,하지만 년 년 기준으로 보면 대 지수가 최대 대 하락세를 보이며 미국증시가 년 만에 최악의 수익률을 기록하는 등 약세를 보였다 골드만삭스 월트디즈니 보잉 등이 큰 폭으로 올랐다지수는 전일대비 포인트 오른 로 장을 끝냈다 헬스케어 재량소비재업종 등이 지수 상승을 주도했다기술주 중심의 나스닥종합지수는 로 전일대비 포인트 올랐다,https://finance.naver.com/news/news_read.nhn?article_id=0004154362&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
22,22,2019-01-02 7:51,황금돼지해에도 월 효과 이어질까,월일 이전 협상 테이블에서 도널드 트럼프 미국 대통령과 시진핑 중국 국가주석 사이 뚜렷한 성과가 없을 경우 투자자들의 심리가 더 얼어붙을 가능성이 높다하인환 증권 연구원  상반월에는 상승 흐름이 나타날 수 있지만 하반월에는 상승이 제한될 것으로 예상한다 무역협상이 구체화되고 있지 못한 상황에서 중국 경제지표가 부진하게 나올 경우 증시 상승 압력은 낮아질 가능성이 높다투자증권  국내 증시에서 월 효과가 발생하기 위한 선결조건은 외국인 매수세 재개 이에 기반이 되는 펀더멘탈의 안정화다,https://finance.naver.com/news/news_read.nhn?article_id=0004386134&office_id=277&mode=mainnews&type=&date=2019-01-02&page=1,0.0
25,25,2019-01-03 17:31,중국 위험회피 심리 지속원달러 환율 상승,일 서울외환시장에서 원달러 환율 변동 추이 자료마켓포인트종합 경제정보 미디어 이데일리  무단전재  재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004285058&office_id=018&mode=mainnews&type=&date=2019-01-03&page=1,0.0
26,26,2019-01-03 16:54,부진한 경제 지표애플 경고에 하락,이어 애플이 자사 부진 전망의 원인으로 중국을 지목하면서 투자자들이 그동안 우려했던 사안을 정확히 짚었다며 애플의 경고와 부진한 가 증시 하락으로 이어졌다고 설명했다전날 발표된 중국 차이신 제조업지수 는 년 월 이후 처음으로 기준치인  아래인 을 기록했다 대만 자취엔지수는  내린 로 마감했다일본 증시는 신년 연휴로 일 휴장한다,https://finance.naver.com/news/news_read.nhn?article_id=0004155541&office_id=008&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
27,27,2019-01-03 16:34,신년 증시 개장 이틀만에 코스피  붕괴개월새 최저치,지난해 월 한달 간 순이익 전망치는 나 감익됐는데 이는 년 금융위기 이후 월간 최대 감익폭이다연초부터 코스피 이 뚫린 가운데 전문가들은 다음 지지선은 이 될 것으로 전망했다김학균 신영증권 리서치센터장은 대내외적 악재는 이미 주가에 상당 부분 반영된 상태라며 년 수준까지 하락한다 해도 을 살짝 밑도는 수준이 바닥이 될 것이라고 판단했다앞서 외국계 증권사 도 글로벌 신용경색으로 금융위기가 도래할 경우 코스피가 선까지 밀릴 수 있다는 전망을 내놨다,https://finance.naver.com/news/news_read.nhn?article_id=0004155521&office_id=008&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
28,28,2019-01-03 16:20,새해 두번째 거래일도 코스피 하락 마감 선 붕괴,당분간 한분기 정도는 조정세가 지속되겠지만 선을 하단으로 이보다 하방압력이 크지는 않을 것이라고 전망했다이경수 메리츠종금증권 리서치센터장은 전날 발표된 월 중국 차이신 제조업 구매관리자지수 선이 깨지고 한국의 수출 증가세를 견인해 온 반도체 수출이 개월 만에 감소하는 등 경기둔화에 대한 우려가 현실로 나타나면서 주가 조정이 재개됐다고 분석했다코스피 프로그램 매매는 차익거래 억원 순매도 비차익거래 억원 순매수로 전체적으로 억원 매수 우위를 나타냈다지수 선물 시장에서는 외국인과 기관이 각각 계약 계약 순매도를 기록했고 개인이 계약 순매수를 나타냈다업종별로는 등락이 엇갈렸다,https://finance.naver.com/news/news_read.nhn?article_id=0004155501&office_id=008&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
29,29,2019-01-03 16:09,팀 쿡 편지에 선 깨진 코스피반도체주도 줄이어 하락,미국과 중국의 무역분쟁이 쉽게 해결될 것이란 기대감이 나왔지만 증시 약세를 막기엔 역부족이었다일 코스피지수는 전날보다 포인트 내린 에 장을 마쳤다 외국인이 주로 순매수한 업종은 금융 철강 전기가스업 등이었다서상영 키움증권 연구원은 중국과 미국의 무역분쟁이 해결될 것이란 기대감에 지수가 오르는 듯 했지만 중국 증시가 하락세로 방향을 바꾸면서 국내 증시도 약세를 보였다고 했다미국 증시 시간 외 거래에서 애플은  가까이 떨어졌다 팀 쿡 대표이사가 투자자에게 보낸 편지가 악영향을 줬다,https://finance.naver.com/news/news_read.nhn?article_id=0000423788&office_id=366&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
30,30,2019-01-03 11:27,돈 몰리는데 지수는 하락우울한  증시,잇따라 발표되는 부진한 경기지표는 증시에 악재이지만 이를 토대로 중국 정부가 강도 높은 경기 부양책을 마련할 것이라는 설명이다문다솔 하이투자증권 연구원은 연초 경제지표 악화로 인해 중국의 부양 기조가 더욱 강화될 수 있는 환경이라며 이는 미국 증시 급락이 진정되고 미국 외 국가의 경기 및 증시가 저점을 형성하고 있다는 기대를 높일 수 있다고 말했다그러나 중국 증시가 바닥을 확인했다는 판단을 내리기는 어려워 보인다,https://finance.naver.com/news/news_read.nhn?article_id=0001483109&office_id=016&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
31,31,2019-01-03 11:26,대형주 가치흔들믿을맨은 콘텐츠,이른바 밸류트랩에 빠지는 대형주들이 늘어나면서 저평가 종목에 대한 반등 기대감을 낮춰야 한다는 지적이다유승민 삼성증권 연구원은 기업들이 현금성자산의 보유를 늘리고 투자에는 소극적인 상황이라며 총자산 회전율의 구조적인 개선이 없다면 대형주 에 대한 인색한 평가는 계속될 수밖에 없다고 말했다이 때문에 올해에는 미디어엔터 등 콘텐츠 관련 성장주를 주목하라는 조언이 많다,https://finance.naver.com/news/news_read.nhn?article_id=0001483107&office_id=016&mode=mainnews&type=&date=2019-01-03&page=1,1.0
32,32,2019-01-03 11:26,잇단 목표상향조선주 올해도 함박웃음,목표를 달성한다면 지난해에 이어 올해에도 큰 폭의 주가상승이 가능할 수 있다현대중공업은 일 올해 매출 목표를 조억원으로 공시했다 현대중공업은 작년 월 기준 누계 매출액이 조억원으로 억원 내외의 월 매출액 추이를 감안할 때 지난해 총 매출액은 조원 내외일 것으로 예상된다 현대중공업은 올해 수주 목표를 억달러로 정했다,https://finance.naver.com/news/news_read.nhn?article_id=0001483106&office_id=016&mode=mainnews&type=&date=2019-01-03&page=1,1.0
33,33,2019-01-03 11:24,연초부터 우울한 전망삼성전자전기 울고 싶어라,증권사들이 연초부터 이들에 대한 눈높이를 낮춰잡고 있어서다일 금융투자업계에 따르면 삼성전자에 대한 지난해 추정 주가수익비율은 배 수준이다 새해 첫날부터 미래에셋대우는 만원 하이투자증권은 만원 수준으로 목표주가를 낮췄다고의영 하이투자증권 연구원은 삼성전기의 글로벌 경쟁사들의 밸류에이션이 하락한 점도 영향을 미쳤다고 평가했다전기자동차에 들어가는 차 전지를 생산하는 삼성 역시 지난해 추정 이 배이지만 오는 년 은 배 수준으로 떨어질 것으로 관측된다,https://finance.naver.com/news/news_read.nhn?article_id=0001483101&office_id=016&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
34,34,2019-01-03 11:38,새해 벽두부터 선 깨진 코스피 반등은 언제,시장에 내재된 거품은 거의 없다는 뜻이다김 센터장은 년 증시 저점 수준까지 지수가 밀린다고 해도 선을 살짝 하회하는 수준에 그칠 것이라며 지금 주식을 들고 있는 사람들은 지금에 와서 손실을 확정지을 필요는 없으며 기다릴 필요가 있다고 조언했다미중 무역협상이 진행되면서 증시 변동성이 확대될 수 있지만 하방 리스크는 크지 않다는 분석이다윤지호 이베스트투자증권 리서치센터장은 중국의 차이신 제조업  부진이나 전날 미국 증시 급락을 초래한 애플의 실적부진이 새로운 뉴스는 아니라면서 중국도 관련 부양정책을 펼치고 있고 미국도 무역분쟁의 영향을 확인했기 때문에 타협 가능성이 있다고 내다봤다그러면서 올해부터 매달 기자회견을 여는 제롬 파월 미국 연방준비제도 의장의 발언 톤이 올해 증시 향방을 판단할 수 있는 시금석이 될 수 있다고 전망했다,https://finance.naver.com/news/news_read.nhn?article_id=0004155265&office_id=008&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
35,35,2019-01-03 11:22,코스피 선 아래로 떨어졌다고지금이 기회,사진게티이미지뱅크 사진게티이미지뱅크  모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004072257&office_id=015&mode=mainnews&type=&date=2019-01-03&page=1,1.0
36,36,2019-01-03 8:39,새해 기분좋은 출발에도 변동성 공포는 여전,하지만 일각에서는 지난해말 급락으로 인해 저가매수세가 나타나기 시작했다며 긍정적인 전망을 제시했다일 다우존스산업평균지수는 전일대비 포인트 오른 만로 거래를 마쳤다 페이스북 아마존 애플 알파벳 등 대형 기술주들이 상승세를 보였다조엘 쿠리나 웨드부시증권 분석가는 글로벌 경제둔화 우려와 지속되는 무역전쟁 불확실성을 고려하면 투자자들은 언제 어디가 바닥인지를 확인하기 위해 년 더욱 신중한 접근법을 취할 것이라고 전망했다이날 증시 상승에도 글로별 경제둔화 우려와 미 연방정부 셧다운 지속은 투자심리를 짓눌렀다,https://finance.naver.com/news/news_read.nhn?article_id=0004155061&office_id=008&mode=mainnews&type=&date=2019-01-03&page=1,1.0
37,37,2019-01-03 8:30,중국 경기부양책 효과 하락세 이어지진 않겠지만,서상영 키움증권 연구원은 전일 한국 증시도 중국 경기 둔화 우려감이 높아지자 하락했다며 그러나 중국 정부가 경기 부양 정책을 확대하고 있어 하락세가 지속될 가능성은 높지 않다고 전망했다이어 트럼프 대통령이 중국과 무역 협상이 잘 진행 되고 있다고 주장한 점은 긍정적이라며 지난 월 주요국 주식시장 변동성 확대 요인이었던 점을 감안하면 관련 이슈 완화는 투자심리 개선에 우호적인 영향을 줄 것이라고 밝혔다김광현 유안타증권 연구원은 이익전망치의 하향 조정과 증시 부진은 글로벌 증시 공통된 현상이라며 단기에 반전을 기대하기는 쉽지 않지만 적어도 한국 증시는 반영해야 할 것을 반영하고 있다고 설명했다다만 기업 실적 전망의 감익 속도가 빠른 만큼 너무 큰 반등을 기대할 수는 없다는 지적이다,https://finance.naver.com/news/news_read.nhn?article_id=0004155055&office_id=008&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
38,38,2019-01-03 8:22,첫 거래서 소폭 상승,중국을 비롯한 주요국 경기 둔화 우려가 강화된 점이 장초반 시장을 압박했다마킷에 따르면 중국의 월 차이신 제조업 구매관리자지수는 로 년 개월 만에 처음으로  아래로 떨어졌다 블룸버그에 따르면 사우디의 지난해 월 하루 원유 수출 물량은 약 만 배럴 줄어든 만 배럴을 기록했다,https://finance.naver.com/news/news_read.nhn?article_id=0003477831&office_id=011&mode=mainnews&type=&date=2019-01-03&page=1,1.0
40,40,2019-01-03 7:00,코스피  위태위험자산 신중원자재투자 고려,지난해 일 미국 뉴욕증권거래소의 다우존스 증시 시세표글로벌 증시 변동성이 커지는 만큼 신중한 투자가 요구된다는 분석이 나온다 지난해 일 미국 뉴욕증권거래소의 다우존스 증시 시세표글로벌 증시 변동성이 커지는 만큼 신중한 투자가 요구된다는 분석이 나온다코스피지수가 전일 중국 경기둔화 신호 등에 따른 기관 매도세로 대 아래로 하락할 위기를 맞은 가운데 투자자산마다 다른 시각이 제기됐다,https://finance.naver.com/news/news_read.nhn?article_id=0004387060&office_id=277&mode=mainnews&type=&date=2019-01-03&page=1,-1.0
41,41,2019-01-03 5:14,트럼프의 입이 년 뉴욕증시 명운 가른다,사진종합 경제정보 미디어 이데일리  무단전재  재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004284364&office_id=018&mode=mainnews&type=&date=2019-01-03&page=1,0.0
42,42,2019-01-03 5:40,신한지주현대차삼성물산지주사 쇼핑에 빠진 기관들,최남곤 유안타증권 연구원은 올해 주총에서 임기가 만료되는 명의 사외이사 교체 시도가 있을 것이라며 최근 기관의 한진칼 주식 순매수는 주총 표대결 가능성에 따른 주가 변동성 확대에 베팅한 것이라고 설명했다국내 증시에서 그간 지주사들은 지배구조 개편 규제 불확실성으로 인해 주가 할인에서 벗어나지 못했다,https://finance.naver.com/news/news_read.nhn?article_id=0004284367&office_id=018&mode=mainnews&type=&date=2019-01-03&page=1,1.0
43,43,2019-01-03 3:09,기업공개 시장 황금돼지 몰려온다,하지만 새해 들어 대어급 기업들이 기업공개 채비에 나서고 있고 투자자들도 다시 공모주에 관심을 기울이고 있다일 한국거래소에 따르면 지난해 기업공개를 통해 증시에 상장한 기업은 총 개사로 전년보다 크게 늘었다 시장에서는 바디프랜드의 기업 가치를 조원 수준으로 추정하고 공모 규모는 억원에 달할 것으로 보고 있다현대자동차그룹 계열사인 현대오토에버 역시 지난달 말 상장 예심을 신청했고 지난해 코스닥 상장을 철회했던 카카오게임즈도 다시 상장 절차를 밟을 전망이다,https://finance.naver.com/news/news_read.nhn?article_id=0003419606&office_id=023&mode=mainnews&type=&date=2019-01-03&page=1,1.0
44,44,2019-01-04 17:34,중국 비중 큰 철강화학 된서리 주가 뚝뚝실적전망 줄줄이 하향,증시 덮친 차이나 쇼크롯데케미칼아모레퍼시픽 대포스코도 개월 새  떨어져삼성전자 올해 영업이익 전망치개월 새 조조로 낮아져  모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004073180&office_id=015&mode=mainnews&type=&date=2019-01-04&page=1,-1.0
45,45,2019-01-04 17:34,전문가들 코스피 시장 전망투자 전략수익보단 손실 축소 집중을,삼성전자 잠정실적 발표 촉각조선통신로 타깃 좁혀야  모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004073178&office_id=015&mode=mainnews&type=&date=2019-01-04&page=1,1.0
46,46,2019-01-04 17:32,엔화 급등에현대차그룹 가속 페달,수출 경쟁력 살아나현대차기아차현대모비스 등 일제히 상승지난달  판매량  늘어현대차 한 달 새 주가  올라지배구조 개편 기대 여전당분간 상승세 지속 가능성  모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004073175&office_id=015&mode=mainnews&type=&date=2019-01-04&page=1,1.0
